,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Silly Girl,1,5SfaW0Dci9sgWTloIhjtIU,Rubber Biscuit,spotify:track:5SfaW0Dci9sgWTloIhjtIU,0.00555,0.455,0.886,0.00212,0.283,-5.758,0.0417,160.419,0.88,3
1,Silly Girl,2,4XIlmXFG2dlRIeCGx4o6AY,Come Before Five,spotify:track:4XIlmXFG2dlRIeCGx4o6AY,0.0494,0.597,0.46,4.41e-06,0.0714,-8.805,0.161,154.764,0.733,8
2,Silly Girl,3,1WN4oSH8Sv8NrAkj95JfzQ,Silly Girl,spotify:track:1WN4oSH8Sv8NrAkj95JfzQ,0.129,0.648,0.735,0.0,0.0876,-7.926,0.381,145.293,0.73,4
3,Silly Girl,4,0bRd7cwhRHPuFSQYXs5Vyl,Love Understands,spotify:track:0bRd7cwhRHPuFSQYXs5Vyl,0.118,0.69,0.759,6.06e-06,0.0664,-7.707,0.112,120.916,0.861,5
4,Silly Girl,5,6QMwkFon2PgiONMAyDe8Oq,Sizzlin' Bacon II,spotify:track:6QMwkFon2PgiONMAyDe8Oq,0.0374,0.512,0.64,3.32e-06,0.088,-6.151,0.0734,150.425,0.826,2
5,Silly Girl,6,6ibNP6MvulYZZNzKFbIfO0,Play Another Song,spotify:track:6ibNP6MvulYZZNzKFbIfO0,0.13,0.723,0.875,0.0,0.0567,-5.705,0.204,125.53,0.842,3
6,Silly Girl,7,02a7Mj4Ie0JNgrb15oaXUA,Paddles,spotify:track:02a7Mj4Ie0JNgrb15oaXUA,0.164,0.767,0.499,0.0,0.089,-10.295,0.0374,134.637,0.927,3
7,Silly Girl,8,7gJx3TmlPTTBpVlxBWaizE,Things You Do,spotify:track:7gJx3TmlPTTBpVlxBWaizE,0.0236,0.651,0.801,1.84e-06,0.0885,-5.759,0.052,138.302,0.961,2
8,Silly Girl,9,5lQoY9ykw40nEqD4rdyIXo,Holiday,spotify:track:5lQoY9ykw40nEqD4rdyIXo,0.11,0.724,0.833,0.0,0.119,-5.792,0.0407,133.567,0.966,2
9,Silly Girl,10,4oCkKA9SieBbNVlrDTQfJY,Cry,spotify:track:4oCkKA9SieBbNVlrDTQfJY,0.00551,0.796,0.616,0.0107,0.0557,-7.548,0.0601,94.418,0.823,2
10,Silly Girl,11,0pBT7cj3MmR8X0WftaO0Gl,You Likee Banana,spotify:track:0pBT7cj3MmR8X0WftaO0Gl,0.0214,0.636,0.483,0.0,0.239,-9.353,0.266,77.71,0.71,3
11,Silly Girl,12,2uCchex8zWz8i2tcGgv5D3,Paddles Dub,spotify:track:2uCchex8zWz8i2tcGgv5D3,0.00242,0.657,0.443,0.33,0.485,-9.897,0.0426,134.611,0.627,2
12,Children of the Rhythm,1,6m3dG5p8WdUD8gxN2eTN1x,Children of the Rhythm,spotify:track:6m3dG5p8WdUD8gxN2eTN1x,0.0615,0.557,0.922,0.00498,0.136,-4.641,0.176,184.866,0.943,1
13,Children of the Rhythm,2,3Q88AbJgXhJVqjZzr7OBKR,New Love,spotify:track:3Q88AbJgXhJVqjZzr7OBKR,0.399,0.595,0.817,7.69e-06,0.0531,-6.038,0.176,113.663,0.795,1
14,Children of the Rhythm,3,2tcAGp0LCoosH1iLnh1183,Down with the Ship,spotify:track:2tcAGp0LCoosH1iLnh1183,0.508,0.709,0.742,0.0671,0.473,-7.745,0.0922,136.986,0.906,1
15,Children of the Rhythm,4,0RV3fpOHBWT5aIG6cWi9Et,Party,spotify:track:0RV3fpOHBWT5aIG6cWi9Et,0.208,0.653,0.936,1.31e-05,0.303,-5.089,0.0719,121.722,0.811,1
16,Children of the Rhythm,5,611IGAUvlcBRqOayCN3dnE,No Way,spotify:track:611IGAUvlcBRqOayCN3dnE,0.175,0.851,0.642,0.0,0.0507,-5.886,0.0724,114.395,0.964,1
17,Children of the Rhythm,6,17yloNauUYbWl0gM11WXBn,Rain,spotify:track:17yloNauUYbWl0gM11WXBn,0.182,0.643,0.844,0.0255,0.0588,-4.879,0.207,103.608,0.72,2
18,Children of the Rhythm,7,04TtHBjbDpLX5T7N94xt5i,Stay with Me,spotify:track:04TtHBjbDpLX5T7N94xt5i,0.132,0.721,0.655,0.0477,0.258,-8.533,0.0464,115.655,0.964,1
19,Children of the Rhythm,8,6P6wBsxeW0vH0hVpNjF0zd,Dolphins,spotify:track:6P6wBsxeW0vH0hVpNjF0zd,0.138,0.675,0.653,0.000441,0.0424,-7.161,0.197,143.712,0.778,1
20,Children of the Rhythm,9,1vpLVqqgnnVWaLh1Hqh1u9,Grain of Sugar,spotify:track:1vpLVqqgnnVWaLh1Hqh1u9,0.288,0.412,0.504,0.00175,0.0889,-7.574,0.0333,197.856,0.669,1
21,Children of the Rhythm,10,6F9c070vAUcJlQjvknOXQn,Unjust Judge,spotify:track:6F9c070vAUcJlQjvknOXQn,0.244,0.739,0.595,0.0188,0.178,-7.469,0.0768,134.883,0.696,1
22,Children of the Rhythm,11,7r6uZVvvFBqqo5zesJlEJk,Tired of Being So Lonely,spotify:track:7r6uZVvvFBqqo5zesJlEJk,0.0106,0.657,0.813,0.00602,0.461,-5.778,0.157,137.063,0.84,1
23,Children of the Rhythm,12,0rRrWnRdzqtaRMW866line,Where Do We Go Dub,spotify:track:0rRrWnRdzqtaRMW866line,0.013,0.634,0.793,0.116,0.183,-6.958,0.0834,137.021,0.804,0
